county,license_number,operation_type,estab_type,entity_name,dba_name,street_number,street_name,city,state,zip_code,georeference,:@computed_region_yamh_8v7k,square_footage,address_line_2,address_line_3
RICHMOND,758881,Store,AC,PRIORITY DELI & GROCERY CORP,PRIORITY DELI & GROCERY,488,JERSEY STREET,STATEN ISLAND,NY,10301,"{'type': 'Point', 'coordinates': [-74.086, 40.63677]}",585,1200,,
BRONX,758879,Store,AC,FM GROCERY & CANDY CORP,FM GROCERY & CANDY,131,WEST KINGSBRIDGE RD. ###,BRONX,NY,10468,"{'type': 'Point', 'coordinates': [-73.90296, 40.86902]}",307,,,
NEW YORK,758877,Store,AC,2 CAMPUS DELI CORP,2 CAMPUS DELI,469,W 157TH STREET,NEW YORK,NY,10032,"{'type': 'Point', 'coordinates': [-73.94172, 40.83274]}",749,1800,,
NEW YORK,758876,Store,AC,SOLIMANS GROCERY CORP,SOLIMAN'S GROCERY,129,E 45TH ST #6,NEW YORK,NY,10017,"{'type': 'Point', 'coordinates': [-73.97442, 40.75327]}",749,1000,,
KINGS,758875,Store,AC,NK SUPERMARKET INC,BANGLA SUPERMARKET,2741,PITKIN AVENUE,BROOKLYN,NY,11208,"{'type': 'Point', 'coordinates': [-73.87085, 40.67556]}",894,,,
ONEIDA,758874,Store,AC,TURAY ABU BAKARR,UNCLE BAKARR AFRICAN GROCERY,677,BLEEKER ST,UTICA,NY,13501,"{'type': 'Point', 'coordinates': [-75.21831, 43.09844]}",984,400,,
SCHENECTADY,758873,Store,AC,YAZZYS MARKET INC,YAZZY'S MARKET,127,ERIE BOULEVARD,SCHENECTADY,NY,12305,"{'type': 'Point', 'coordinates': [-73.94788, 42.81252]}",104,,,
ONEIDA,758872,Store,AC,CLIFFORDS SUNRISE TO SUNSET MARKETS INC,CLIFFS LOCAL MARKET(11/28/23),3931,ONEIDA ST,WASHINGTON MILLS,NY,13479,,,3680,,
GREENE,758871,Store,AC,STEWARTS SHOPS CORP,STEWARTS SHOP #298,10,GATEWAY DR,LEEDS,NY,12451,,,1800,,
QUEENS,758869,Store,A,CHAW SU KYAW INC,CHAW SU KYAW,86-55,BROADWAY STORE#B11  ##,ELMHURST,NY,11373,"{'type': 'Point', 'coordinates': [-73.87736, 40.73722]}",196,,,
KINGS,758865,Store,AC,YAYA GOURMET DELI CORP,YAYA GOURMET DELI,1808,PROSPECT PLACE,BROOKLYN,NY,11233,"{'type': 'Point', 'coordinates': [-73.91657, 40.67249]}",894,,,
ERIE,758864,Store,A,HICKORY FARMS LLC,HICKORY FARMS #10124,3046,SHERIDAN DR,BUFFALO,NY,14226,"{'type': 'Point', 'coordinates': [-78.81996, 42.98084]}",304,3000,AMHERST COMMONS,
ONONDAGA,758863,Store,A,DOLGEN NEW YORK LLC,DOLLAR GENERAL #25200,3905,NEW COURT AVE,SYRACUSE,NY,13206,"{'type': 'Point', 'coordinates': [-76.11386, 43.08074]}",702,,,
HERKIMER,758859,Store,AC,MEATS ON MAIN LLC,MEATS ON MAIN,201,E MAIN STREET ##,FRANKFORT,NY,13340,"{'type': 'Point', 'coordinates': [-75.06897, 43.03743]}",681,1200,,
ESSEX,758857,Store,A,DOLGEN NEW YORK LLC,DOLLAR GENERAL #25167,3192,PLANK RD,MORIAH,NY,12960,"{'type': 'Point', 'coordinates': [-73.51501, 44.08668]}",439,10000,,
QUEENS,758856,Store,AC,SUN KEY FOOD LLC,KEY FOOD,108-16,LIBERTY AVE,SOUTH RICHMOND HILL,NY,11419,"{'type': 'Point', 'coordinates': [-73.83331, 40.68385]}",196,,,
BRONX,758855,Store,A,ALDI INC,ALDI #149 (10/18/23),843,WHITE PLAINS RD,BRONX,NY,10473,"{'type': 'Point', 'coordinates': [-73.85827, 40.82201]}",307,,,
KINGS,758854,Store,AC,695 FOOD CORP,FOODTOWN,695,GRAND STREET,BROOKLYN,NY,11211,"{'type': 'Point', 'coordinates': [-73.94486, 40.71154]}",894,20000,,
KINGS,758850,Store,AC,NORTH STAR MARKET LLC,NORTH STAR MARKET,1186,MYRTLE AVENUE,BROOKLYN,NY,11221,"{'type': 'Point', 'coordinates': [-73.93263, 40.69727]}",894,,,
KINGS,758846,Store,A,MARACAS BAY MARKET LLC,MARACAS BAY MARKET,1123,CLARKSON AVENUE STORE 4 ##,BROOKLYN,NY,11212,"{'type': 'Point', 'coordinates': [-73.92117, 40.66044]}",894,1500,,
ORANGE,758840,Store,AC,SIMRAN 249 CORP,NEIGHBOR MART,249,DOLSON AVE,MIDDLETOWN,NY,10940,"{'type': 'Point', 'coordinates': [-74.42835, 41.42299]}",884,800,,
BRONX,758838,Store,AC,Z3 MARKET AND DELI CORP,Z3 MARKET AND DELI,3200,WHITE PLAINS RD,BRONX,NY,10467,"{'type': 'Point', 'coordinates': [-73.86715, 40.87167]}",307,,,
NEW YORK,758837,Store,AC,2ND AVENUE FANTASY FOOD INC,2ND AVENUE FANTASY FOOD,2383,2ND AVE,NEW YORK,NY,10035,"{'type': 'Point', 'coordinates': [-73.93484, 40.80101]}",749,1100,,
NEW YORK,758836,Store,AC,TEN ICHI MART 5TH AVENUE INC,TEN ICHI MART 5TH AVENUE,178,5TH AVENUE,NEW YORK,NY,10010,"{'type': 'Point', 'coordinates': [-73.98988, 40.74113]}",749,,,
BRONX,758835,Store,AC,MAWNIA DELI & GROCERY CORP,MAWNIA DELI & GROCERY,180,E 156TH ST,BRONX,NY,10451,"{'type': 'Point', 'coordinates': [-73.92371, 40.82321]}",307,1200,,
ERIE,758834,Store,AC,BUFFALO FIRST CHOICE INC,BUFFALO FIRST CHOICE,669,WALDEN AVE,BUFFALO,NY,14211,"{'type': 'Point', 'coordinates': [-78.81137, 42.9052]}",300,1800,,
SUFFOLK,758827,Store,A,A LA LLAMA GRILL LLC,ZONA ANDINA EQUADORIAN,1409,MONTAUK HWY ##,PATCHOGUE,NY,11772,"{'type': 'Point', 'coordinates': [-72.95902, 40.77139]}",1022,700,,
KINGS,758826,Store,AC,A&P SUSHI LLC,LINCOLN MARKET,33,LINCOLN RD ###,BROOKLYN,NY,11225,"{'type': 'Point', 'coordinates': [-73.96178, 40.66073]}",894,500,,
BRONX,758825,Store,AC,413 DELI CORP,413 DELI,2315,HUGHES AVE###,BRONX,NY,10458,"{'type': 'Point', 'coordinates': [-73.88771, 40.85346]}",307,,,
SUFFOLK,758824,Store,AC,HAPPY NOODLE LLC,HAPPY NOODLE,29,ROUTE 25A###,MOUNT SINAI,NY,11766,"{'type': 'Point', 'coordinates': [-73.03132, 40.93245]}",1022,1000,UNIT 29,
QUEENS,758819,Store,AC,WAPE MARKET CORP,WAPE MARKET,40-43,JUNCTION BLVD,CORONA,NY,11368,"{'type': 'Point', 'coordinates': [-73.86868, 40.74802]}",196,1000,,
SCHUYLER,758818,Store,A,SUNSET VIEW CREAMERY LLC,SUNSET VIEW CREAMERY,4970,CR 14,ODESSA,NY,14869,"{'type': 'Point', 'coordinates': [-76.78386, 42.31264]}",648,1000,,
QUEENS,758817,Store,AC,109-18 LIBERTY AVENUE CORP,HOOKED ON FISH,109-18,LIBERTY AVE,SOUTH RICHMOND HILL,NY,11419,"{'type': 'Point', 'coordinates': [-73.83232, 40.68425]}",196,2500,,
KINGS,758815,Store,AC,DEYVI GROCERY DELI CORP,DEYVI GROCERY DELI,965,SUTTER AVENUE,BROOKLYN,NY,11208,"{'type': 'Point', 'coordinates': [-73.88309, 40.67116]}",894,800,,
ERIE,758810,Store,AC,US AWESOME PRODUCTS INC,US AWESOME PRODUCTS,1826,SOUTH PARK  ##,BUFFALO,NY,14220,"{'type': 'Point', 'coordinates': [-78.82371, 42.84902]}",300,1600,,
KINGS,758808,Store,AC,MANGO MAS DELI CORPORATION,MANGO MAS DELI,72,AVENUE U,BROOKLYN,NY,11223,"{'type': 'Point', 'coordinates': [-73.98179, 40.59605]}",894,600,,
BRONX,758804,Store,AC,231 BIG APPLE DELI GROCERY CORPORATION,231 BIG APPLE DELI GROCERY,141,W 231ST ST,BRONX,NY,10463,"{'type': 'Point', 'coordinates': [-73.90256, 40.87809]}",307,1200,,
NEW YORK,758803,Store,AC,1773 EXPRESS DELI CORPORATION,1773 EXPRESS DELI,1773,1ST AVE,NEW YORK,NY,10128,"{'type': 'Point', 'coordinates': [-73.94676, 40.78044]}",749,,,
MONROE,758792,Store,AC,20 HOURS CLINTON CORPORATION,20 HOURS CLINTON,799,N CLINTON AVE,ROCHESTER,NY,14605,"{'type': 'Point', 'coordinates': [-77.6127, 43.17309]}",537,,,
QUEENS,758785,Store,A,IVILUX GROCERY CORP,IVILUX GROCERY,94-64,CORONA AVE,ELMHURST,NY,11373,"{'type': 'Point', 'coordinates': [-73.8678, 40.74212]}",196,,,
KINGS,758775,Store,AC,TO THE MOOD DELI INC,TO THE MOOD DELI,41,NEW LOTS AVE ###,BROOKLYN,NY,11212,"{'type': 'Point', 'coordinates': [-73.90342, 40.65724]}",894,,,
ONONDAGA,758767,Store,AC,MIKE MINI MART AND DELI INC,MIKE MINI MART AND DELI,2510,BREWERTON RD #2514,SYRACUSE,NY,13211,"{'type': 'Point', 'coordinates': [-76.14552, 43.10211]}",690,,,
NEW YORK,758765,Store,AC,EL AGUILA REAL MEAT MARKET CORP,EL AGUILA REAL MEAT MARKET,528,W 145TH ST  #1,NEW YORK,NY,10031,"{'type': 'Point', 'coordinates': [-73.94924, 40.82593]}",749,2200,,
ONONDAGA,758762,Store,A,VALLEY HILLS CONVENIENCE INC,VALLEY HILLS CONVENIENCE,4429,S SALINA ST,SYRACUSE,NY,13205,"{'type': 'Point', 'coordinates': [-76.14306, 43.00446]}",687,,,
KINGS,758759,Store,AC,457 FOOD CORP,FOODTOWN,457,ATLANTIC AVENUE,BROOKLYN,NY,11217,"{'type': 'Point', 'coordinates': [-73.9824, 40.68598]}",894,,,
NASSAU,758757,Store,AC,PORTUGUES FAMILY MARKET INC,PORTUGUES FAMILY MARKET,215,MINEOLA BLVD  ##,MINEOLA,NY,11501,"{'type': 'Point', 'coordinates': [-73.64236, 40.74562]}",60,,,
ULSTER,758756,Store,ABCH,L&P BAGELS LLC,BNB BAGELS,292,PLAZA RD ##,KINGSTON,NY,12401,"{'type': 'Point', 'coordinates': [-74.01889, 41.9376]}",425,1000,,
QUEENS,758753,Store,A,106 QUICK STOP CONVENIENCE STORE CORP,106 QUICK STOP CONVENIENCE STORE,106-10,ASTORIA BLVD,EAST ELMHURST,NY,11369,"{'type': 'Point', 'coordinates': [-73.86291, 40.76081]}",196,,,
BRONX,758752,Store,AC,DARIOS DELIGHTS CORP,DARIO'S DELIGHTS,2349,ANDREW AVE NORTH,BRONX,NY,10468,"{'type': 'Point', 'coordinates': [-73.9064, 40.86248]}",307,900,,
KINGS,758751,Store,AC,DYLAN MARKET AND DELI CORP,DYLAN MARKET AND DELI,276,HUMBOLDT STREET,BROOKLYN,NY,11206,"{'type': 'Point', 'coordinates': [-73.94213, 40.71118]}",894,,,
RICHMOND,758750,Store,AC,LA ECONOMICA FRUITS & MEAT MARKET CORP,LA ECONOMICA FRUITS & MEAT MARKET,73,VICTORY BLVD,STATEN ISLAND,NY,10301,"{'type': 'Point', 'coordinates': [-74.07858, 40.63834]}",585,,,
KINGS,758743,Store,A,RJYY LLC,PREPT BY RAYT,508,KINGS HWY,BROOKLYN,NY,11223,"{'type': 'Point', 'coordinates': [-73.97075, 40.60435]}",894,400,,
QUEENS,758741,Store,AC,WORLD STAR JAMAICA DELI CORP,WORLD STAR JAMAICA DELI,210-25,JAMAICA AVE,QUEENS VILLAGE,NY,11428,"{'type': 'Point', 'coordinates': [-73.74953, 40.71511]}",196,1500,,
SCHENECTADY,758740,Store,AC,MAHABIR RONALD,ONE STOP WEST INDIAN GROCERY & FISH MARK,772,STATE STREET   ##,SCHENECTADY,NY,12307,"{'type': 'Point', 'coordinates': [-73.9355, 42.80787]}",104,800,,
SCHOHARIE,758739,Store,AC,LOVE SHINE TEA LLC,LOVE SHINE TEA,315,MAIN ST###,SCHOHARIE,NY,12157,"{'type': 'Point', 'coordinates': [-74.31099, 42.66483]}",146,,,
RICHMOND,758736,Store,ABC,SI TRADERS INC,BRIGHTON BAGELS,843,FOREST AVE,STATEN ISLAND,NY,10310,"{'type': 'Point', 'coordinates': [-74.11723, 40.62895]}",585,2000,,
QUEENS,758734,Store,AC,LEGACY MINI MART CORP,LEGACY MINI MART,96-19,LINDEN BLVD,OZONE PARK,NY,11417,"{'type': 'Point', 'coordinates': [-73.83981, 40.67397]}",196,4250,,
NEW YORK,758713,Store,AC,FATOOMA CORP,EDIBLE ARRANGEMENTS,221,W 14TH STREET,NEW YORK,NY,10011,"{'type': 'Point', 'coordinates': [-74.00067, 40.73897]}",749,,,
