county,license_number,operation_type,estab_type,entity_name,dba_name,street_number,street_name,city,state,zip_code,georeference,:@computed_region_yamh_8v7k,square_footage,address_line_2,address_line_3,longitude,latitude
BRONX,727728,Store,AC,SAZON DELI GROCERY CORP,SAZON DELI GROCERY,131,E 183RD STREET ####,BRONX,NY,10453,"{'type': 'Point', 'coordinates': [-73.90072, 40.85768]}",307,1500,,,-73.90072,40.85768
BRONX,727691,Store,AC,SUPERSTAR 1 DELI AND & GROCERY CORP,SUPERSTAR 1 DELI AND & GROCERY,2801,WHITE PLAINS ROAD,BRONX,NY,10467,"{'type': 'Point', 'coordinates': [-73.86728, 40.86667]}",307,1600,,,-73.86728,40.86667
BRONX,727658,Store,AC,2408 M & E GROCERY CORP,2408 M & E GROCERY,2408,UNIVERSITY AVE,BRONX,NY,10468,"{'type': 'Point', 'coordinates': [-73.9047, 40.86313]}",307,700,,,-73.9047,40.86313
BRONX,727626,Store,AC,PIEDRA PARTIDA DELI GROCERY CORP,TU CASA SUPERMARKET,229,E KINGSBRIDGE ROAD,BRONX,NY,10458,"{'type': 'Point', 'coordinates': [-73.89364, 40.8653]}",307,2000,,,-73.89364,40.8653
BRONX,727620,Store,AC,LOS CASTILLOS MINI MARKET CORP,LOS CASTILLOS MINI MARKET 03/01/17,1601,UNIVERSITY AVENUE,BRONX,NY,10453,"{'type': 'Point', 'coordinates': [-73.92051, 40.84702]}",307,3000,,,-73.92051,40.84702
BRONX,727535,Store,AC,ALHAMEDI DELI GROCERY CORP,ALHAMEDI DELI GROCERY,1095,PROSPECT AVE FRNT 2,BRONX,NY,10459,"{'type': 'Point', 'coordinates': [-73.89904, 40.82592]}",307,900,,,-73.89904,40.82592
BRONX,727526,Store,AC,178 GOURMET DELI CORP,178 GOURMET DELI,1930,GRAND CONCOURSE ####,BRONX,NY,10457,"{'type': 'Point', 'coordinates': [-73.90523, 40.85012]}",307,1100,,,-73.90523,40.85012
BRONX,727424,Store,A,ELLIOT DELI AND GROCERY CORP,ELLIOT DELI AND GROCERY,45,ELLIOT PL,BRONX,NY,10452,"{'type': 'Point', 'coordinates': [-73.91675, 40.83907]}",307,1000,,,-73.91675,40.83907
BRONX,727310,Store,AC,JB FUEL CORP,JB GAS & FOOD,2947,JEROME AVE,BRONX,NY,10468,"{'type': 'Point', 'coordinates': [-73.88982, 40.87312]}",307,1200,,,-73.88982,40.87312
BRONX,727295,Store,AC,ASRA MINI MART AND DELI INC,ASRA MINI MART AND DELI,2801,MIDDLETOWN ROAD  ###,BRONX,NY,10461,"{'type': 'Point', 'coordinates': [-73.83637, 40.8435]}",307,700,,,-73.83637,40.8435
BRONX,727260,Store,AC,FRESH DIRECT LLC,FRESH DIRECT,2,ST. ANN'S AVENUE,BRONX,NY,10454,"{'type': 'Point', 'coordinates': [-73.92103, 40.80196]}",307,40000,C/O FOOD SAFETY &QUALITY DEPT,,-73.92103,40.80196
BRONX,727233,Store,AC,JOY'S DELI GROCERY II CORP,JOY'S DELI GROCERY II,1481,WESTCHESTER AVENUE,BRONX,NY,10472,"{'type': 'Point', 'coordinates': [-73.88088, 40.82845]}",307,1400,,,-73.88088,40.82845
BRONX,727222,Store,AC,SUAREZ DELI & GROCERY INC,SUAREZ DELI & GROCERY,269,E 188TH STREET,BRONX,NY,10458,"{'type': 'Point', 'coordinates': [-73.89565, 40.86081]}",307,,,,-73.89565,40.86081
BRONX,727185,Store,AC,OGDEN COFFEE SHOP INC,OGDEN COFFEE SHOP,1373A,OGDEN AVE,BRONX,NY,10452,"{'type': 'Point', 'coordinates': [-73.92455, 40.8419]}",307,,,,-73.92455,40.8419
BRONX,727181,Store,AC,RED APPLE DELI CORP,RED APPLE DELI,294,E 204TH STREET,BRONX,NY,10467,"{'type': 'Point', 'coordinates': [-73.87881, 40.87324]}",307,1100,,,-73.87881,40.87324
