Record ID,store_name,Store Type,Street Number,Street Name,Additional Address,city,state,Zip Code,Zip4,County,latitude,longitude,Authorization Date,End Date
1220211,1150 Webster Pharmacy Inc.  ,Convenience Store,1150,Webster Ave, ,Bronx,NY,10456,2518,BRONX,40.83044,-73.91061,2/3/2016,3/23/2021
820828,1150-66 Food Advantage Corp  ,Super Store,1150,Woodycrest Ave,Aka 1150-66 Woodycrest Ave,Bronx,NY,10452,4404,BRONX,40.83613,-73.92527,5/10/2007,4/19/2010
410571,1150-66 FOOD CORP  ,Supermarket,1150,Woodycrest Ave, ,Bronx,NY,10452,4404,BRONX,40.83613,-73.92527,1/27/2004,5/23/2007
1033573,1158 Grocery & Deli Inc  ,Convenience Store,1158,Saint Lawrence Ave, ,Bronx,NY,10472,4612,BRONX,40.82894,-73.86656,12/21/2011,5/26/2015
713964,1158 R & R GROCERY CORP  ,Small Grocery Store,1158,Saint Lawrence Ave, ,Bronx,NY,10472,4612,BRONX,40.82894,-73.86656,6/8/2004,10/25/2007
1447037,1160 Ft Deli Grocery Corp.  ,Small Grocery Store,1160,Fteley Ave,,Bronx,NY,10472,4402,BRONX,40.82911,-73.87124,7/6/2021,6/15/2023
1462053,1161 Hoe Deli Grocery Corp  ,Small Grocery Store,1161,Hoe Ave,,Bronx,NY,10459,1934,BRONX,40.82777,-73.89101,10/1/2021,1/11/2024
257390,"1166 A & V MINI-MARKET, INC  ",Medium Grocery Store,1166,Pugsley Ave, ,Bronx,NY,10472,5133,BRONX,40.83052,-73.85694,12/1/1994,8/13/2015
259652,1170 WEBSTER MEAT INC  ,Large Grocery Store,1170,Webster Ave,,Bronx,NY,10456,4204,BRONX,40.8308,-73.91024,12/18/1992, 
1239066,1171 Three Brothers Adeli Grocery Corp  ,Convenience Store,1171,Nelson Ave, ,Bronx,NY,10452,3602,BRONX,40.83673,-73.92607,5/31/2016,6/26/2018
830894,1172 Sam's Deli Corp.  ,Convenience Store,1172,E Gun Hill Rd,,Bronx,NY,10469,2900,BRONX,40.87296,-73.85303,9/28/2007,6/23/2014
830894,1172 Sam's Deli Corp.  ,Convenience Store,1172,E Gun Hill Rd,,Bronx,NY,10469,2900,BRONX,40.87296,-73.85303,11/30/2022,3/3/2025
