county,license_number,operation_type,estab_type,entity_name,dba_name,street_number,street_name,city,state,zip_code,georeference,:@computed_region_yamh_8v7k,square_footage,address_line_2,address_line_3,longitude,latitude,snap_eligible,snap_ever_authorized,snap_match_method,snap_record_id,snap_store_name,snap_store_type,snap_auth_date,snap_end_date,snap_match_distance_m
BRONX,732196,Store,AC,901 GOURMET DELI CORP,901 GOURMET DELI,901,SOUTHERN BLVD,BRONX,NY,10459,"{'type': 'Point', 'coordinates': [-73.89287, 40.81957]}",307,1000.0,,,-73.89287,40.81957,1,1,address,1387433.0,Jimenez Fruits & Vegetables,Small Grocery Store,8/21/2025,,0.0
BRONX,731695,Store,AC,947 DELI GROCERY CORP,947 DELI GROCERY,947,EAST 163RD ST,BRONX,NY,10459,"{'type': 'Point', 'coordinates': [-73.89617, 40.82099]}",307,1000.0,,,-73.89617,40.82099,1,1,address,1552039.0,Kelly Street Deli Corp,Convenience Store,8/15/2023,,0.0
BRONX,731565,Store,AC,INTERVALE DELI CORP,INTERVALE DELI,1103,INTERVALE AVE,BRONX,NY,10459,"{'type': 'Point', 'coordinates': [-73.89706, 40.82619]}",307,900.0,,,-73.89706,40.82619,1,1,address,1313185.0,Intervale Deli Corp,Convenience Store,4/28/2018,,0.0
BRONX,731084,Store,ACDK,R & J SEAFOOD CORP,R & J SEAFOOD,800,FOOD CENTER DRIVE UNIT 117 ###,BRONX,NY,10474,"{'type': 'Point', 'coordinates': [-73.87625, 40.80434]}",307,1500.0,,,-73.87625,40.80434,0,0,none,,,,,,
BRONX,730509,Store,A,DOLGEN NEW YORK LLC,DOLLAR GENERAL # 19211,900,SOUTHERN BLVD,BRONX,NY,10459,"{'type': 'Point', 'coordinates': [-73.89289, 40.81955]}",307,1500.0,,,-73.89289,40.81955,1,1,address,1295394.0,Dollar General 19211,Combination Grocery/Other,8/8/2017,,0.0
BRONX,730328,Store,AC,HPA DELI CORP,HPA DELI,803,HUNTS POINT AVE,BRONX,NY,10474,"{'type': 'Point', 'coordinates': [-73.88812, 40.81693]}",307,1200.0,,,-73.88812,40.81693,1,1,address,1496201.0,H P A Deli Corp,Small Grocery Store,6/15/2022,,0.0
BRONX,729127,Store,A,DISCOUNT CORP AND 99 CENT,DISCOUNT CORP AND 99 CENT,545 A,SOUTHERN BLVD ####,BRONX,NY,10455,"{'type': 'Point', 'coordinates': [-73.90377, 40.81223]}",307,,,,-73.90377,40.81223,1,1,address,1283805.0,Discount Corp And 99c,Convenience Store,9/15/2017,,0.0
BRONX,728049,Store,AC,A & G DELI GROCERY III CORP,A & G DELI GROCERY III,948,E 163RD ST,BRONX,NY,10459,"{'type': 'Point', 'coordinates': [-73.89606, 40.82099]}",307,1200.0,,,-73.89606,40.82099,1,1,address,1289222.0,A & G Deli Grocery Iii Corp,Small Grocery Store,10/16/2020,,0.0
BRONX,725894,Store,AC,A AND J SUPER FOOD INC,ANTILLANA FRESH MEAT MARKET,1025,WESTCHESTER AVE,BRONX,NY,10459,"{'type': 'Point', 'coordinates': [-73.89319, 40.82403]}",307,3000.0,,,-73.89319,40.82403,1,1,address,1269630.0,Antillana Fresh Meat Market,Large Grocery Store,2/16/2017,,0.0
BRONX,725369,Store,AC,ROYAL DELI INC,ROYAL DELI,980,INTERVALE AVE ###,BRONX,NY,10459,"{'type': 'Point', 'coordinates': [-73.89687, 40.82266]}",307,,,,-73.89687,40.82266,1,1,address,1647554.0,Royal Deli Inc,Convenience Store,4/14/2025,,0.0
BRONX,725218,Store,AC,EXCEL FOOD MART LLC,EXCEL FOOD MART,1264,RANDALL AVE,BRONX,NY,10474,"{'type': 'Point', 'coordinates': [-73.88705, 40.81204]}",307,1200.0,,,-73.88705,40.81204,1,1,spatial,1491931.0,El Provocon Deli Grocery Corp.,Convenience Store,5/12/2022,,56.0
BRONX,724739,Store,A,DOLLAR TREE STORES INC,DOLLAR TREE #05191,925,HUNTS POINT AVE,BRONX,NY,10459,"{'type': 'Point', 'coordinates': [-73.89091, 40.8204]}",307,2500.0,,,-73.89091,40.8204,1,1,address,1260610.0,Dollar Tree 5191,Combination Grocery/Other,10/7/2016,,0.0
BRONX,724557,Store,AC,SABOR LATINO DELI SUPERMARKET CORP,SABOR LATINO DELI SUPERMARKET,1000,LONGWOOD AVENUE,BRONX,NY,10459,"{'type': 'Point', 'coordinates': [-73.89718, 40.81689]}",307,2000.0,,,-73.89718,40.81689,1,1,address,1653429.0,Sabor Latino Deli Supermarket Corp,Medium Grocery Store,5/19/2025,,0.0
BRONX,724181,Store,AC,NELLYS DELI GROCERY CORP,NELLYS DELI GROCERY,1240,SPOFFORD AVE,BRONX,NY,10474,"{'type': 'Point', 'coordinates': [-73.8894, 40.81407]}",307,1000.0,,,-73.8894,40.81407,1,1,address,1255700.0,Nelly's Deli Grocery Corp.,Small Grocery Store,9/1/2016,,0.0
BRONX,723677,Store,AC,SOUTHERN BLVD MEAT MARKET CORP,SAGAL MEAT MARKET,1091,SOUTHERN BLVD,BRONX,NY,10459,"{'type': 'Point', 'coordinates': [-73.89194, 40.8258]}",307,2500.0,,,-73.89194,40.8258,1,1,spatial,1242591.0,Southern Blvd Meat Market Corp./Sagal Food,Large Grocery Store,3/31/2016,,7.5
BRONX,723294,Store,ACDK,GRADYS COLD BREW INC,GRADYS COLD BREW,819,GARRISON AVE,BRONX,NY,10474,"{'type': 'Point', 'coordinates': [-73.89343, 40.81565]}",307,8000.0,,,-73.89343,40.81565,0,0,none,,,,,,
BRONX,723232,Store,AC,MARIA FOOD MARKET CORP,MARIA FOOD MARKET,920,PROSPECT AVE,BRONX,NY,10459,"{'type': 'Point', 'coordinates': [-73.90074, 40.82179]}",307,1100.0,,,-73.90074,40.82179,1,1,address,1241647.0,Maria Food Market Corp.,Medium Grocery Store,7/7/2016,,0.0
BRONX,722667,Store,AC,LO MAXIMO DELI GROCERY LLC,LO MAXIMO DELI GROCERY,710,BECK STREET,BRONX,NY,10455,"{'type': 'Point', 'coordinates': [-73.9, 40.81513]}",307,1100.0,,,-73.9,40.81513,1,1,address,1247299.0,Lo Maximo Deli Grocery Llc,Small Grocery Store,5/31/2019,,0.0
BRONX,722504,Store,AC,CRYSTAL JAIDA GROCERY CORP,CRYSTAL JAIDA GROCERY,1090,LONGFELLOW AVE ####,BRONX,NY,10459,"{'type': 'Point', 'coordinates': [-73.88784, 40.82606]}",307,1000.0,,,-73.88784,40.82606,0,1,address,1248937.0,Crystal Jaida Grocery Corp,Small Grocery Store,10/27/2016,11/19/2018,0.0
BRONX,721060,Store,AC,VERACRUZ DELI & GROCERY INC,VERACRUZ DELI & GROCERY,1019,E 167TH ST ###,BRONX,NY,10459,"{'type': 'Point', 'coordinates': [-73.88898, 40.82676]}",307,900.0,,,-73.88898,40.82676,0,0,none,,,,,,
BRONX,718974,Store,AC,A&G DELI GROCERY II CORP,A & G DELI GROCERY II,976,PROSPECT AVE,BRONX,NY,10459,"{'type': 'Point', 'coordinates': [-73.90008, 40.82338]}",307,,,,-73.90008,40.82338,1,1,address,1222029.0,A & G Deli Grocery II Corp,Convenience Store,12/28/2015,,0.0
BRONX,718789,Store,AC,CT GROCERY NY CORP,CT GROCERY NY,869,BRYANT AVE,BRONX,NY,10474,"{'type': 'Point', 'coordinates': [-73.88665, 40.81879]}",307,,,,-73.88665,40.81879,1,1,address,1661482.0,CT Grocery NY Corp,Convenience Store,7/1/2025,,0.0
BRONX,718452,Store,AC,LA REYNA DE WESTCHESTER DELI GROCERY COR,LA REYNA DE WESTCHESTER DELI GROCERY,1218,WESTCHESTER AVE,BRONX,NY,10459,"{'type': 'Point', 'coordinates': [-73.88915, 40.8261]}",307,,,,-73.88915,40.8261,0,1,address,1225458.0,La Reyna De Westchester Deli Grocery Corp.,Convenience Store,3/10/2016,6/10/2021,0.0
BRONX,717675,Store,AC,FERNANDEZ ALCIBIADES A,FERNANDEZ DELI GROCERY,1086,KELLY ST,BRONX,NY,10459,"{'type': 'Point', 'coordinates': [-73.89582, 40.82576]}",307,1000.0,,,-73.89582,40.82576,1,1,address,1547354.0,Fernandez Deli Grocery,Small Grocery Store,10/24/2023,,0.0
BRONX,716722,Store,ABCK,ALL NATURAL PRODUCTS INC,DAVIDOVICH BAKERY,727,DRAKE ST,BRONX,NY,10474,"{'type': 'Point', 'coordinates': [-73.88303, 40.81598]}",307,10000.0,,,-73.88303,40.81598,0,0,none,,,,,,
