GEOID,NAME,B11001_001E,source,year
36005030100,"Census Tract 301, Bronx, NY",692.0,censusreporter:acs2024_5yr,2024
36005030201,"Census Tract 302.01, Bronx, NY",1686.0,censusreporter:acs2024_5yr,2024
36005030202,"Census Tract 302.02, Bronx, NY",2683.0,censusreporter:acs2024_5yr,2024
36005030701,"Census Tract 307.01, Bronx, NY",2411.0,censusreporter:acs2024_5yr,2024
36005030900,"Census Tract 309, Bronx, NY",1442.0,censusreporter:acs2024_5yr,2024
36005031000,"Census Tract 310, Bronx, NY",1291.0,censusreporter:acs2024_5yr,2024
36005031200,"Census Tract 312, Bronx, NY",532.0,censusreporter:acs2024_5yr,2024
36005031400,"Census Tract 314, Bronx, NY",596.0,censusreporter:acs2024_5yr,2024
36005031600,"Census Tract 316, Bronx, NY",711.0,censusreporter:acs2024_5yr,2024
36005031800,"Census Tract 318, Bronx, NY",542.0,censusreporter:acs2024_5yr,2024
36005031900,"Census Tract 319, Bronx, NY",6.0,censusreporter:acs2024_5yr,2024
36005032300,"Census Tract 323, Bronx, NY",2690.0,censusreporter:acs2024_5yr,2024
36005032400,"Census Tract 324, Bronx, NY",1293.0,censusreporter:acs2024_5yr,2024
36005032600,"Census Tract 326, Bronx, NY",1065.0,censusreporter:acs2024_5yr,2024
36005032800,"Census Tract 328, Bronx, NY",1407.0,censusreporter:acs2024_5yr,2024
36005033000,"Census Tract 330, Bronx, NY",2087.0,censusreporter:acs2024_5yr,2024
36005033201,"Census Tract 332.01, Bronx, NY",2258.0,censusreporter:acs2024_5yr,2024
36005033202,"Census Tract 332.02, Bronx, NY",1478.0,censusreporter:acs2024_5yr,2024
36005033400,"Census Tract 334, Bronx, NY",8.0,censusreporter:acs2024_5yr,2024
36005033500,"Census Tract 335, Bronx, NY",801.0,censusreporter:acs2024_5yr,2024
36005033601,"Census Tract 336.01, Bronx, NY",2188.0,censusreporter:acs2024_5yr,2024
36005033602,"Census Tract 336.02, Bronx, NY",589.0,censusreporter:acs2024_5yr,2024
36005033700,"Census Tract 337, Bronx, NY",1049.0,censusreporter:acs2024_5yr,2024
36005033801,"Census Tract 338.01, Bronx, NY",913.0,censusreporter:acs2024_5yr,2024
36005033802,"Census Tract 338.02, Bronx, NY",528.0,censusreporter:acs2024_5yr,2024
