GEOID,NAME,source,B19001_001E,B19001_002E,B19001_003E,B19001_004E,B19001_005E,B19001_006E,B19001_007E,B19001_008E,B19001_009E,B19001_010E,B19001_011E,B19001_012E,B19001_013E,B19001_014E,B19001_015E,B19001_016E,B19001_017E,n_low,n_mid,n_high,n_i_sum,year
36005014300,"Census Tract 143, Bronx, NY",censusreporter:acs2024_5yr,743.0,202.0,204.0,65.0,11.0,0.0,19.0,33.0,0.0,17.0,115.0,21.0,0.0,12.0,44.0,0.0,0.0,482.0,69.0,192.0,743.0,2024
36005014400,"Census Tract 144, Bronx, NY",censusreporter:acs2024_5yr,2428.0,437.0,370.0,165.0,107.0,129.0,65.0,76.0,45.0,129.0,87.0,49.0,204.0,258.0,155.0,68.0,84.0,1079.0,444.0,905.0,2428.0,2024
36005014500,"Census Tract 145, Bronx, NY",censusreporter:acs2024_5yr,2433.0,544.0,268.0,139.0,215.0,209.0,43.0,176.0,339.0,29.0,314.0,64.0,91.0,0.0,0.0,0.0,2.0,1166.0,796.0,471.0,2433.0,2024
36005014701,"Census Tract 147.01, Bronx, NY",censusreporter:acs2024_5yr,2009.0,233.0,503.0,171.0,0.0,21.0,60.0,221.0,236.0,277.0,39.0,167.0,0.0,20.0,0.0,61.0,0.0,907.0,815.0,287.0,2009.0,2024
36005014702,"Census Tract 147.02, Bronx, NY",censusreporter:acs2024_5yr,1924.0,281.0,467.0,97.0,172.0,75.0,66.0,65.0,64.0,52.0,117.0,188.0,236.0,0.0,44.0,0.0,0.0,1017.0,322.0,585.0,1924.0,2024
36005014900,"Census Tract 149, Bronx, NY",censusreporter:acs2024_5yr,1546.0,417.0,130.0,55.0,71.0,16.0,62.0,125.0,0.0,64.0,27.0,91.0,142.0,89.0,104.0,0.0,153.0,673.0,267.0,606.0,1546.0,2024
36005015100,"Census Tract 151, Bronx, NY",censusreporter:acs2024_5yr,2117.0,176.0,258.0,85.0,151.0,280.0,241.0,41.0,8.0,56.0,58.0,174.0,332.0,103.0,50.0,33.0,71.0,670.0,626.0,821.0,2117.0,2024
36005015200,"Census Tract 152, Bronx, NY",censusreporter:acs2024_5yr,986.0,35.0,40.0,15.0,7.0,16.0,85.0,50.0,16.0,0.0,97.0,74.0,173.0,131.0,107.0,80.0,60.0,97.0,167.0,722.0,986.0,2024
36005015300,"Census Tract 153, Bronx, NY",censusreporter:acs2024_5yr,1781.0,254.0,253.0,19.0,144.0,136.0,120.0,83.0,33.0,0.0,88.0,292.0,148.0,88.0,29.0,77.0,17.0,670.0,372.0,739.0,1781.0,2024
36005015500,"Census Tract 155, Bronx, NY",censusreporter:acs2024_5yr,1064.0,201.0,103.0,79.0,23.0,0.0,21.0,55.0,60.0,68.0,149.0,14.0,133.0,17.0,122.0,0.0,19.0,406.0,204.0,454.0,1064.0,2024
36005015700,"Census Tract 157, Bronx, NY",censusreporter:acs2024_5yr,2321.0,234.0,150.0,51.0,37.0,274.0,167.0,41.0,165.0,69.0,258.0,253.0,270.0,107.0,153.0,20.0,72.0,472.0,716.0,1133.0,2321.0,2024
36005015800,"Census Tract 158, Bronx, NY",censusreporter:acs2024_5yr,534.0,85.0,14.0,11.0,6.0,25.0,0.0,9.0,22.0,0.0,0.0,71.0,106.0,34.0,9.0,37.0,105.0,116.0,56.0,362.0,534.0,2024
36005015900,"Census Tract 159, Bronx, NY",censusreporter:acs2024_5yr,1023.0,86.0,123.0,200.0,66.0,133.0,11.0,9.0,45.0,8.0,44.0,45.0,109.0,84.0,35.0,0.0,25.0,475.0,206.0,342.0,1023.0,2024
36005016000,"Census Tract 160, Bronx, NY",censusreporter:acs2024_5yr,1521.0,131.0,0.0,88.0,90.0,34.0,27.0,80.0,10.0,77.0,56.0,88.0,208.0,150.0,97.0,145.0,240.0,309.0,228.0,984.0,1521.0,2024
36005016100,"Census Tract 161, Bronx, NY",censusreporter:acs2024_5yr,2224.0,661.0,260.0,108.0,204.0,97.0,35.0,82.0,108.0,114.0,130.0,178.0,34.0,30.0,19.0,164.0,0.0,1233.0,436.0,555.0,2224.0,2024
36005016200,"Census Tract 162, Bronx, NY",censusreporter:acs2024_5yr,509.0,17.0,0.0,0.0,20.0,0.0,8.0,0.0,6.0,31.0,24.0,48.0,69.0,48.0,39.0,35.0,164.0,37.0,45.0,427.0,509.0,2024
